시도,구군,구군코드
서울특별시,강남구,1116
서울특별시,강동구,1117
서울특별시,강북구,1124
서울특별시,강서구,1111
서울특별시,관악구,1115
서울특별시,광진구,1123
서울특별시,구로구,1112
서울특별시,금천구,1125
서울특별시,노원구,1122
서울특별시,도봉구,1107
서울특별시,동대문구,1105
서울특별시,동작구,1114
서울특별시,마포구,1110
서울특별시,서대문구,1109
서울특별시,서초구,1119
서울특별시,성동구,1104
서울특별시,성북구,1106
서울특별시,송파구,1118
서울특별시,양천구,1120
서울특별시,영등포구,1113
서울특별시,용산구,1103
서울특별시,은평구,1108
서울특별시,종로구,1101
서울특별시,중구,1102
서울특별시,중랑구,1121
부산광역시,강서구,1212
부산광역시,금정구,1211
부산광역시,기장군,1216
부산광역시,남구,1207
부산광역시,동구,1203
부산광역시,동래구,1206
부산광역시,북구,1208
부산광역시,사상구,1215
부산광역시,사하구,1210
부산광역시,서구,1202
부산광역시,수영구,1214
부산광역시,연제구,1213
부산광역시,영도구,1204
부산광역시,중구,1201
부산광역시,진구,1205
부산광역시,해운대구,1209
대구광역시,남구,2204
대구광역시,달서구,2207
대구광역시,달성군,2208
대구광역시,동구,2202
대구광역시,북구,2205
대구광역시,서구,2203
대구광역시,수성구,2206
대구광역시,중구,2201
인천광역시,강화군,2309
인천광역시,계양구,2308
인천광역시,남구,2303
인천광역시,남동구,2305
인천광역시,동구,2302
인천광역시,부평구,2304
인천광역시,서구,2306
인천광역시,연수구,2307
인천광역시,옹진군,2310
인천광역시,중구,2301
광주광역시,광산구,2404
광주광역시,남구,2405
광주광역시,동구,2401
광주광역시,북구,2403
광주광역시,서구,2402
대전광역시,대덕구,2505
대전광역시,동구,2501
대전광역시,서구,2503
대전광역시,유성구,2504
대전광역시,중구,2502
울산광역시,남구,2602
울산광역시,동구,2603
울산광역시,북구,2604
울산광역시,울주군,2605
울산광역시,중구,2601
세종특별자치시,세종특별자치시,2701
경기도,가평군,1322
경기도,고양시,1318
경기도,과천시,1332
경기도,광명시,1309
경기도,광주시,1319
경기도,구리시,1310
경기도,군포시,1333
경기도,김포시,1327
경기도,남양주시,1334
경기도,동두천시,1330
경기도,부천시,1306
경기도,성남시,1303
경기도,수원시,1302
경기도,시흥시,1316
경기도,안산시,1307
경기도,안성시,1326
경기도,안양시,1305
경기도,양주시,1311
경기도,양평군,1323
경기도,여주시,1313
경기도,연천군,1320
경기도,오산시,1335
경기도,용인시,1325
경기도,의왕시,1336
경기도,의정부시,1304
경기도,이천시,1324
경기도,파주시,1317
경기도,평택시,1308
경기도,포천시,1321
경기도,하남시,1337
경기도,화성시,1315
경기도,강릉시,1404
경기도,고성군,1422
경기도,동해시,1403
경기도,삼척시,1407
경기도,속초시,1405
경기도,양구군,1420
경기도,양양군,1423
경기도,영월군,1415
경기도,원주시,1402
경기도,인제군,1421
경기도,정선군,1417
경기도,철원군,1418
경기도,춘천시,1401
경기도,태백시,1406
경기도,평창군,1416
경기도,홍천군,1412
경기도,화천군,1419
경기도,횡성군,1413
경기도,괴산군,1516
경기도,단양군,1520
경기도,보은군,1512
경기도,영동군,1514
경기도,옥천군,1513
경기도,음성군,1517
경기도,제천시,1503
경기도,증평군,1521
경기도,진천군,1515
경기도,청원군,1511
경기도,청주시,1501
경기도,충주시,1502
경기도,계룡시,1624
경기도,공주시,1605
경기도,금산군,1611
경기도,논산시,1615
경기도,당진시,1623
경기도,보령시,1604
경기도,부여군,1616
경기도,서산시,1606
경기도,서천군,1617
경기도,아산시,1603
경기도,연기군,1613
경기도,예산군,1621
경기도,천안시,1602
경기도,청양군,1619
경기도,태안군,1612
경기도,홍성군,1620
경기도,고창군,1719
경기도,군산시,1702
경기도,김제시,1706
경기도,남원시,1705
경기도,무주군,1713
경기도,부안군,1720
경기도,순창군,1717
경기도,완주군,1711
경기도,익산시,1723
경기도,임실군,1715
경기도,장수군,1714
경기도,전주시,1701
경기도,정읍시,1704
경기도,진안군,1712
경기도,강진군,1822
경기도,고흥군,1818
경기도,곡성군,1813
