시도,시도코드,구군,구군코드
서울특별시,1100,강남구,1116
서울특별시,1100,강동구,1117
서울특별시,1100,강북구,1124
서울특별시,1100,강서구,1111
서울특별시,1100,관악구,1115
서울특별시,1100,광진구,1123
서울특별시,1100,구로구,1112
서울특별시,1100,금천구,1125
서울특별시,1100,노원구,1122
서울특별시,1100,도봉구,1107
서울특별시,1100,동대문구,1105
서울특별시,1100,동작구,1114
서울특별시,1100,마포구,1110
서울특별시,1100,서대문구,1109
서울특별시,1100,서초구,1119
서울특별시,1100,성동구,1104
서울특별시,1100,성북구,1106
서울특별시,1100,송파구,1118
서울특별시,1100,양천구,1120
서울특별시,1100,영등포구,1113
서울특별시,1100,용산구,1103
서울특별시,1100,은평구,1108
서울특별시,1100,종로구,1101
서울특별시,1100,중구,1102
서울특별시,1100,중랑구,1121
부산광역시,1200,강서구,1212
부산광역시,1200,금정구,1211
부산광역시,1200,기장군,1216
부산광역시,1200,남구,1207
부산광역시,1200,동구,1203
부산광역시,1200,동래구,1206
부산광역시,1200,북구,1208
부산광역시,1200,사상구,1215
부산광역시,1200,사하구,1210
부산광역시,1200,서구,1202
부산광역시,1200,수영구,1214
부산광역시,1200,연제구,1213
부산광역시,1200,영도구,1204
부산광역시,1200,중구,1201
부산광역시,1200,진구,1205
부산광역시,1200,해운대구,1209
대전광역시,2500,대덕구,2505
대전광역시,2500,동구,2501
대전광역시,2500,서구,2503
대전광역시,2500,유성구,2504
대전광역시,2500,중구,2502
대구광역시,2200,남구,2204
대구광역시,2200,달서구,2207
대구광역시,2200,달성군,2208
대구광역시,2200,동구,2202
대구광역시,2200,북구,2205
대구광역시,2200,서구,2203
대구광역시,2200,수성구,2206
대구광역시,2200,중구,2201
광주광역시,2400,광산구,2404
광주광역시,2400,남구,2405
광주광역시,2400,동구,2401
광주광역시,2400,북구,2403
광주광역시,2400,서구,2402
인천광역시,2300,강화군,2309
인천광역시,2300,계양구,2308
인천광역시,2300,남구,2303
인천광역시,2300,남동구,2305
인천광역시,2300,동구,2302
인천광역시,2300,부평구,2304
인천광역시,2300,서구,2306
인천광역시,2300,연수구,2307
인천광역시,2300,옹진군,2310
인천광역시,2300,중구,2301
울산광역시,2600,남구,2602
울산광역시,2600,동구,2603
울산광역시,2600,북구,2604
울산광역시,2600,울주군,2605
울산광역시,2600,중구,2601
세종특별자치시,2700,세종특별자치시,2701
경기도,1300,가평군,1322
경기도,1300,고양시,1318
경기도,1300,과천시,1332
경기도,1300,광명시,1309
경기도,1300,광주시,1319
경기도,1300,구리시,1310
경기도,1300,군포시,1333
경기도,1300,김포시,1327
경기도,1300,남양주시,1334
경기도,1300,동두천시,1330
경기도,1300,부천시,1306
경기도,1300,성남시,1303
