시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
초등학교,연천초교,부산광역시 연제구 과정로225번길 46,부산광역시 연제구 연산동 378-11 (연천 초등학교),35.1862175,129.1004934,부산광역시 연제구청,연제경찰서,Y,4,10,2020-02-22,3370000,부산광역시 연제구
초등학교,전민초등학교,대전광역시 유성구 엑스포로466번길 42(전민동),대전광역시 유성구 전민동 468,36.3987604822,127.4071484667,대전광역시 유성구청,대전유성경찰서,Y,,,2020-03-01,3670000,대전광역시 유성구
초등학교,문지초등학교,대전광역시 유성구 전민로 41(문지동),대전광역시 유성구 문지동 285-9,36.3960508855,127.3993449088,대전광역시 유성구청,대전유성경찰서,Y,,,2020-03-01,3670000,대전광역시 유성구
초등학교,유성초등학교(병설),대전광역시 유성구 장대로 71번길 12(장대동),대전광역시 유성구 장대동 155,36.36259084,127.3327358,대전광역시 유성구청,대전유성경찰서,Y,,,2020-03-01,3670000,대전광역시 유성구
어린이집,기쁨아이,강원도 동해시 이원길 151 (이도동),강원도 동해시 이도동 252,37.4800541,129.1088121,강원도 동해시,동해경찰서,N,,12,2020-03-16,4210000,강원도 동해시
어린이집,한나,강원도 동해시 분토길 70 (지흥동),강원도 동해시 지흥동 59-2,37.4994622598,129.1049068426,강원도 동해시,동해경찰서,N,,3,2020-03-16,4210000,강원도 동해시
어린이집,명령한어린이집,강원도 동해시 사문5길 7 (발한동),강원도 동해시 발한동 354-76,37.5568648,129.1050236138,강원도 동해시,동해경찰서,N,,3,2020-03-16,4210000,강원도 동해시
유치원,솔빛유치원,강원도 동해시 청운2길 21 (쇄운동),강원도 동해시 쇄운동 68,37.4847511,129.105467,강원도 동해시,동해경찰서,N,,3,2020-03-16,4210000,강원도 동해시
어린이집,근로자복지회관,강원도 동해시 샘실1길 36 (천곡동),강원도 동해시 천곡동 1050-10,37.5210614,129.1063274,강원도 동해시,동해경찰서,N,,3,2020-03-16,4210000,강원도 동해시
어린이집,영재,강원도 동해시 발한천윗길 30 (발한동),강원도 동해시 발한동 472-5,37.5527977859,129.1011571,강원도 동해시,동해경찰서,N,,3,2020-03-16,4210000,강원도 동해시
어린이집,우주,강원도 동해시 가마골길 19 (부곡동),강원도 동해시 부곡동 171-9,37.5359161,129.1015421,강원도 동해시,동해경찰서,Y,2,3,2020-03-16,4210000,강원도 동해시
어린이집,머릿돌,강원도 동해시 청운로 84 (쇄운동),강원도 동해시 쇄운동 86-3,37.4875751,129.1030180622,강원도 동해시,동해경찰서,Y,2,3,2020-03-16,4210000,강원도 동해시
어린이집,대동튼튼나라,강원도 동해시 청운2길 17-3 (쇄운동),강원도 동해시 쇄운동 66-5,37.4849986583,129.1052876167,강원도 동해시,동해경찰서,N,,3,2020-03-16,4210000,강원도 동해시
